iter	Passed	Remaining
0	135	135489
1	137	68746
2	140	46539
3	142	35360
4	143	28635
5	146	24326
6	148	21124
7	151	18842
8	153	16956
9	156	15492
10	158	14266
11	160	13232
12	163	12393
13	165	11663
14	167	11012
15	169	10454
16	172	9958
17	174	9499
18	176	9100
19	178	8722
20	179	8376
21	181	8082
22	184	7820
23	185	7552
24	188	7332
25	189	7094
26	191	6896
27	192	6693
28	194	6498
29	195	6320
30	196	6152
31	198	6004
32	200	5871
33	201	5735
34	203	5605
35	204	5478
36	205	5360
37	207	5241
38	208	5145
39	209	5034
40	210	4931
41	212	4843
42	213	4752
43	214	4661
44	215	4574
45	217	4510
46	218	4434
47	220	4370
48	222	4309
49	223	4243
50	224	4179
51	226	4136
52	229	4091
53	230	4032
54	231	3979
55	233	3933
56	234	3886
57	237	3851
58	237	3795
59	239	3746
60	241	3711
61	243	3682
62	245	3656
63	247	3616
64	248	3569
65	249	3525
66	250	3486
67	251	3442
68	252	3403
69	253	3370
70	255	3340
71	257	3320
72	260	3304
73	262	3279
74	263	3255
75	265	3227
76	266	3199
77	268	3172
78	270	3150
79	272	3135
80	274	3115
81	276	3097
82	279	3083
83	280	3061
84	282	3036
85	284	3019
86	284	2989
87	286	2970
88	288	2950
89	290	2934
90	291	2916
91	293	2901
92	296	2887
93	298	2874
94	300	2865
95	302	2851
96	304	2833
97	306	2818
98	308	2806
99	310	2791
100	312	2777
101	312	2755
102	314	2742
103	316	2729
104	318	2716
105	320	2706
106	323	2698
107	325	2686
108	327	2676
109	329	2664
110	331	2654
111	333	2640
112	334	2629
113	337	2619
114	338	2604
115	340	2591
116	342	2581
117	344	2574
118	346	2562
119	348	2554
120	350	2544
121	352	2537
122	353	2522
123	355	2510
124	357	2500
125	358	2489
126	360	2481
127	361	2465
128	364	2457
129	365	2447
130	367	2436
131	369	2426
132	370	2414
133	372	2405
134	373	2393
135	374	2381
136	376	2368
137	376	2354
138	378	2344
139	379	2332
140	381	2322
141	382	2311
142	384	2301
143	385	2291
144	386	2281
145	388	2271
146	389	2261
147	391	2251
148	392	2242
149	393	2232
150	394	2219
151	395	2207
152	396	2197
153	398	2189
154	399	2179
155	400	2169
156	401	2157
157	403	2148
158	404	2139
159	406	2132
160	407	2124
161	408	2115
162	409	2104
163	411	2097
164	412	2089
165	414	2081
166	415	2072
167	416	2064
168	418	2055
169	418	2044
170	419	2034
171	420	2025
172	422	2018
173	423	2010
174	424	2003
175	426	1994
176	427	1987
177	429	1981
178	430	1973
179	431	1966
180	432	1956
181	433	1950
182	434	1941
183	436	1933
184	437	1926
185	438	1919
186	439	1912
187	441	1906
188	442	1900
189	444	1894
190	445	1886
191	446	1879
192	447	1872
193	448	1863
194	449	1857
195	451	1850
196	452	1843
197	453	1836
198	454	1828
199	455	1820
200	456	1812
201	457	1806
202	458	1800
203	459	1792
204	460	1784
205	461	1777
206	462	1771
207	463	1764
208	464	1758
209	465	1751
210	466	1745
211	467	1738
212	468	1732
213	470	1726
214	471	1720
215	472	1714
216	473	1708
217	474	1701
218	475	1695
219	476	1689
220	477	1682
221	478	1676
222	479	1671
223	480	1665
224	481	1659
225	482	1654
226	484	1648
227	485	1642
228	486	1636
229	487	1631
230	488	1626
231	489	1621
232	491	1616
233	492	1610
234	493	1604
235	494	1600
236	495	1594
237	496	1589
238	497	1584
239	498	1579
240	499	1573
241	501	1569
242	502	1565
243	503	1560
244	504	1555
245	505	1549
246	506	1545
247	508	1541
248	509	1537
249	510	1532
250	512	1528
251	513	1524
252	514	1519
253	516	1515
254	517	1511
255	518	1506
256	519	1502
257	520	1497
258	521	1492
259	522	1487
260	523	1483
261	524	1478
262	525	1473
263	526	1468
264	527	1463
265	528	1459
266	529	1454
267	531	1450
268	532	1447
269	533	1442
270	534	1437
271	535	1433
272	536	1428
273	537	1424
274	538	1420
275	539	1415
276	540	1410
277	541	1406
278	542	1402
279	544	1398
280	545	1394
281	546	1390
282	547	1386
283	548	1382
284	549	1377
285	550	1373
286	551	1369
287	552	1365
288	553	1362
289	554	1358
290	555	1353
291	556	1349
292	557	1345
293	558	1341
294	559	1337
295	560	1333
296	561	1329
297	562	1324
298	563	1320
299	564	1316
300	565	1312
301	566	1308
302	567	1304
303	568	1301
304	569	1298
305	571	1295
306	572	1291
307	573	1288
308	574	1284
309	575	1280
310	576	1277
311	578	1274
312	579	1271
313	580	1268
314	582	1266
315	583	1263
316	585	1261
317	586	1258
318	588	1255
319	589	1252
320	590	1248
321	591	1245
322	592	1241
323	593	1238
324	594	1235
325	596	1233
326	598	1230
327	599	1228
328	600	1225
329	602	1222
330	603	1219
331	604	1216
332	605	1213
333	606	1209
334	607	1206
335	608	1202
336	609	1199
337	610	1196
338	611	1193
339	613	1190
340	614	1186
341	614	1183
342	615	1179
343	616	1176
344	617	1172
345	618	1168
346	619	1165
347	620	1161
348	621	1158
349	621	1154
350	622	1151
351	623	1148
352	624	1144
353	625	1141
354	626	1138
355	627	1134
356	628	1131
357	628	1127
358	629	1124
359	630	1120
360	631	1117
361	632	1114
362	632	1110
363	633	1107
364	634	1103
365	635	1100
366	636	1097
367	637	1094
368	638	1091
369	639	1088
370	640	1085
371	641	1082
372	642	1079
373	643	1076
374	644	1073
375	644	1070
376	645	1067
377	646	1064
378	647	1060
379	648	1057
380	649	1055
381	650	1052
382	651	1049
383	652	1046
384	653	1043
385	653	1040
386	654	1036
387	655	1034
388	656	1030
389	657	1027
390	657	1024
391	658	1021
392	659	1018
393	660	1015
394	661	1012
395	662	1009
396	663	1007
397	663	1004
398	664	1001
399	665	998
400	666	995
401	667	992
402	668	990
403	669	987
404	670	984
405	671	981
406	672	979
407	673	976
408	674	974
409	675	971
410	676	968
411	677	966
412	678	963
413	679	961
414	680	958
415	681	956
416	682	953
417	682	950
418	683	948
419	684	945
420	685	942
421	686	940
422	687	937
423	688	935
424	689	933
425	690	930
426	691	928
427	692	925
428	693	923
429	694	921
430	695	918
431	696	916
432	697	913
433	698	911
434	699	908
435	700	906
436	701	904
437	702	901
438	703	899
439	705	897
440	706	895
441	707	892
442	708	890
443	709	888
444	710	885
445	711	883
446	712	881
447	713	878
448	714	876
449	715	874
450	716	872
451	717	869
452	718	867
453	719	865
454	720	862
455	721	860
456	722	858
457	723	856
458	724	853
459	725	851
460	726	849
461	727	847
462	728	845
463	729	843
464	730	840
465	732	838
466	733	836
467	734	834
468	735	832
469	736	830
470	737	828
471	738	826
472	739	823
473	740	821
474	741	819
475	742	817
476	743	814
477	744	812
478	745	810
479	746	808
480	747	806
481	748	804
482	749	802
483	750	800
484	751	798
485	752	796
486	753	793
487	754	791
488	755	789
489	756	787
490	757	784
491	758	782
492	758	780
493	759	778
494	760	776
495	761	773
496	762	771
497	763	769
498	765	768
499	766	766
500	767	764
501	768	762
502	769	760
503	770	757
504	771	755
505	772	753
506	773	751
507	773	749
508	774	747
509	775	745
510	776	743
511	777	740
512	778	738
513	779	736
514	780	734
515	782	733
516	783	731
517	784	729
518	785	727
519	786	725
520	786	723
521	787	721
522	788	719
523	789	717
524	790	715
525	791	713
526	792	711
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	797	698
533	798	696
534	798	694
535	799	692
536	800	690
537	801	688
538	802	685
539	802	683
540	803	681
541	804	679
542	805	677
543	805	675
544	806	673
545	807	671
546	808	669
547	808	667
548	809	665
549	810	663
550	811	661
551	812	659
552	813	657
553	814	655
554	814	653
555	815	651
556	816	649
557	817	647
558	817	645
559	818	643
560	819	641
561	820	639
562	820	637
563	821	635
564	822	633
565	823	631
566	824	629
567	824	627
568	825	625
569	826	623
570	827	621
571	827	619
572	828	617
573	829	615
574	830	613
575	830	611
576	831	609
577	832	607
578	833	605
579	833	603
580	834	601
581	835	599
582	836	598
583	836	596
584	837	594
585	838	592
586	839	590
587	840	588
588	841	587
589	842	585
590	842	583
591	843	581
592	844	579
593	844	577
594	845	575
595	846	573
596	847	572
597	848	570
598	849	568
599	849	566
600	850	564
601	851	562
602	852	561
603	852	559
604	853	557
605	854	555
606	855	553
607	856	552
608	857	550
609	857	548
610	858	546
611	859	544
612	860	543
613	861	541
614	861	539
615	862	537
616	863	536
617	864	534
618	865	532
619	865	530
620	866	528
621	867	527
622	868	525
623	869	523
624	869	521
625	870	520
626	871	518
627	871	516
628	872	514
629	873	512
630	874	511
631	875	509
632	877	508
633	878	506
634	879	505
635	879	503
636	880	501
637	881	500
638	882	498
639	882	496
640	883	495
641	884	493
642	885	491
643	886	489
644	887	488
645	888	486
646	888	484
647	889	483
648	890	481
649	891	479
650	891	478
651	892	476
652	893	474
653	894	473
654	895	471
655	896	469
656	897	468
657	897	466
658	898	465
659	899	463
660	900	461
661	900	460
662	901	458
663	902	456
664	903	454
665	904	453
666	904	451
667	905	450
668	906	448
669	907	446
670	908	445
671	908	443
672	909	442
673	910	440
674	911	438
675	912	437
676	913	435
677	914	434
678	915	432
679	916	431
680	917	429
681	918	428
682	919	426
683	920	425
684	921	423
685	922	422
686	923	420
687	924	419
688	924	417
689	925	415
690	926	414
691	927	412
692	928	411
693	929	409
694	930	408
695	930	406
696	931	405
697	932	403
698	933	401
699	934	400
700	934	398
701	935	397
702	936	395
703	937	394
704	937	392
705	938	390
706	939	389
707	939	387
708	940	386
709	941	384
710	942	383
711	943	381
712	944	380
713	945	378
714	945	377
715	947	375
716	947	374
717	948	372
718	949	371
719	950	369
720	951	368
721	952	366
722	952	365
723	953	363
724	954	362
725	955	360
726	955	358
727	956	357
728	957	356
729	958	354
730	959	353
731	960	351
732	960	350
733	961	348
734	962	347
735	963	345
736	964	344
737	964	342
738	965	341
739	966	339
740	967	338
741	967	336
742	968	335
743	969	333
744	970	332
745	970	330
746	971	329
747	973	327
748	974	326
749	975	325
750	975	323
751	976	322
752	977	320
753	978	319
754	979	317
755	979	316
756	980	314
757	981	313
758	982	311
759	982	310
760	983	308
761	984	307
762	985	306
763	986	304
764	987	303
765	987	301
766	988	300
767	989	298
768	990	297
769	990	295
770	991	294
771	992	293
772	993	291
773	994	290
774	995	288
775	995	287
776	996	286
777	997	284
778	998	283
779	999	281
780	1000	280
781	1000	278
782	1001	277
783	1002	276
784	1003	274
785	1003	273
786	1004	271
787	1005	270
788	1006	269
789	1006	267
790	1007	266
791	1008	264
792	1009	263
793	1010	262
794	1010	260
795	1011	259
796	1012	257
797	1013	256
798	1013	255
799	1014	253
800	1015	252
801	1016	250
802	1017	249
803	1017	248
804	1018	246
805	1019	245
806	1019	243
807	1020	242
808	1021	241
809	1022	239
810	1023	238
811	1024	237
812	1025	235
813	1025	234
814	1026	233
815	1027	231
816	1028	230
817	1028	228
818	1029	227
819	1030	226
820	1030	224
821	1031	223
822	1032	222
823	1033	220
824	1034	219
825	1034	217
826	1035	216
827	1036	215
828	1037	213
829	1038	212
830	1039	211
831	1040	210
832	1041	208
833	1042	207
834	1042	206
835	1043	204
836	1044	203
837	1045	202
838	1046	200
839	1046	199
840	1047	198
841	1048	196
842	1049	195
843	1050	194
844	1051	192
845	1052	191
846	1053	190
847	1054	189
848	1055	187
849	1056	186
850	1056	185
851	1057	183
852	1058	182
853	1059	181
854	1060	179
855	1060	178
856	1061	177
857	1062	175
858	1063	174
859	1064	173
860	1064	171
861	1065	170
862	1066	169
863	1067	168
864	1068	166
865	1069	165
866	1069	164
867	1070	162
868	1071	161
869	1072	160
870	1072	158
871	1073	157
872	1074	156
873	1075	155
874	1076	153
875	1076	152
876	1077	151
877	1078	149
878	1079	148
879	1080	147
880	1081	146
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1084	139
886	1085	138
887	1086	137
888	1087	135
889	1088	134
890	1089	133
891	1089	131
892	1090	130
893	1091	129
894	1092	128
895	1092	126
896	1093	125
897	1094	124
898	1095	123
899	1095	121
900	1096	120
901	1097	119
902	1098	117
903	1098	116
904	1099	115
905	1100	114
906	1101	112
907	1102	111
908	1103	110
909	1104	109
910	1105	108
911	1106	106
912	1107	105
913	1108	104
914	1108	103
915	1109	101
916	1110	100
917	1111	99
918	1111	98
919	1112	96
920	1113	95
921	1114	94
922	1115	93
923	1116	91
924	1117	90
925	1118	89
926	1118	88
927	1119	86
928	1120	85
929	1121	84
930	1122	83
931	1123	81
932	1123	80
933	1124	79
934	1125	78
935	1126	77
936	1126	75
937	1127	74
938	1128	73
939	1129	72
940	1129	70
941	1130	69
942	1131	68
943	1132	67
944	1133	65
945	1134	64
946	1135	63
947	1136	62
948	1137	61
949	1138	59
950	1139	58
951	1140	57
952	1141	56
953	1141	55
954	1142	53
955	1143	52
956	1144	51
957	1145	50
958	1145	48
959	1146	47
960	1147	46
961	1148	45
962	1149	44
963	1149	42
964	1150	41
965	1151	40
966	1152	39
967	1153	38
968	1154	36
969	1155	35
970	1156	34
971	1157	33
972	1158	32
973	1159	30
974	1160	29
975	1161	28
976	1162	27
977	1163	26
978	1164	24
979	1165	23
980	1166	22
981	1166	21
982	1167	20
983	1168	19
984	1169	17
985	1170	16
986	1171	15
987	1172	14
988	1173	13
989	1174	11
990	1174	10
991	1176	9
992	1177	8
993	1178	7
994	1179	5
995	1180	4
996	1181	3
997	1182	2
998	1183	1
999	1184	0
